kind	file	title	notes	top_pitch_ratio	note_token_ratio	n_pitches	peer	recommend
cross_dup_keep	采访兔妈妈.txt	采访兔妈妈					兔妈妈和兔孩子.txt	建议保留
cross_dup_drop	兔妈妈和兔孩子.txt	兔妈妈和兔孩子					采访兔妈妈.txt	可去重(会丢这条出处)
cross_dup_keep	再铸时代脊梁.txt	再铸时代脊梁					再铸时代铁脊梁.txt	建议保留
cross_dup_drop	再铸时代铁脊梁.txt	再铸时代铁脊梁					再铸时代脊梁.txt	可去重(会丢这条出处)
cross_dup_keep	国旗国旗真美丽.txt	国旗国旗真美丽					国旗国旗真美丽_2.txt	建议保留
cross_dup_drop	国旗国旗真美丽_2.txt	国旗国旗真美丽					国旗国旗真美丽.txt	可去重(会丢这条出处)
cross_dup_keep	天下凤凰美.txt	天下凤凰美					天下美凤凰.txt	建议保留
cross_dup_drop	天下美凤凰.txt	天下美凤凰					天下凤凰美.txt	可去重(会丢这条出处)
cross_dup_keep	小白船.txt	小白船					小白船_2.txt	建议保留
cross_dup_drop	小白船_2.txt	小白船					小白船.txt	可去重(会丢这条出处)
cross_dup_keep	恋曲_歌曲类.txt	恋曲 歌曲类					恋曲2000_歌曲类.txt	建议保留
cross_dup_drop	恋曲2000_歌曲类.txt	恋曲2000 歌曲类					恋曲_歌曲类.txt	可去重(会丢这条出处)
cross_dup_keep	我们_2.txt	我们					我们_3.txt	建议保留
cross_dup_drop	我们_3.txt	我们					我们_2.txt	可去重(会丢这条出处)
cross_dup_keep	援藏大哥.txt	援藏大哥					援藏大哥_记谱.txt	建议保留
cross_dup_drop	援藏大哥_记谱.txt	援藏大哥 记谱					援藏大哥.txt	可去重(会丢这条出处)
cross_dup_keep	美丽新航程.txt	美丽新航程					旗帜高扬领航程.txt	建议保留
cross_dup_drop	旗帜高扬领航程.txt	旗帜高扬领航程					美丽新航程.txt	可去重(会丢这条出处)
cross_dup_keep	黄杨扁担新唱.txt	黄杨扁担新唱					梁溪，我心中美丽的晨曦.txt	建议保留
cross_dup_drop	梁溪，我心中美丽的晨曦.txt	梁溪，我心中美丽的晨曦					黄杨扁担新唱.txt	可去重(会丢这条出处)
cross_dup_keep	爱我中华1.txt	爱我中华1					爱我中华2.txt	建议保留
cross_dup_drop	爱我中华2.txt	爱我中华2					爱我中华1.txt	可去重(会丢这条出处)
cross_dup_keep	红高粱片尾主题曲-红高粱.txt	红高粱片尾主题曲-红高粱					红高粱.txt	建议保留
cross_dup_drop	红高粱.txt	红高粱					红高粱片尾主题曲-红高粱.txt	可去重(会丢这条出处)
cross_dup_keep	草原上的小河.txt	草原上的小河					草原上的小河_2.txt	建议保留
cross_dup_drop	草原上的小河_2.txt	草原上的小河					草原上的小河.txt	可去重(会丢这条出处)
cross_dup_keep	蜗牛与黄鹂鸟_2.txt	蜗牛与黄鹂鸟					蜗牛与黄鹂鸟.txt	建议保留
cross_dup_drop	蜗牛与黄鹂鸟.txt	蜗牛与黄鹂鸟					蜗牛与黄鹂鸟_2.txt	可去重(会丢这条出处)
cross_dup_keep	诗画中国_2.txt	诗画中国					诗画中国_3.txt	建议保留
cross_dup_drop	诗画中国_3.txt	诗画中国					诗画中国_2.txt	可去重(会丢这条出处)
